RUN,GEN,SMILES,VINA
8,30,C=C1[N]C(=C2CC[NH+](Cc3cccc4cc(C)ccc34)CC2)n2c(=O)c3c(=N)cc[nH]c3c[n+]21,-11.8
8,25,Cc1cc2c(cc1F)c(C(=O)[NH+]1CCC3(CC1)c1cc(F)ccc1-n1c3nc3c(Cl)ccc(F)c3c1=O)cc1[nH+]ccnc12,-11.8
0,23,Cn1c2ccccc2c2cc(C(=O)N3CCC(c4[nH]/[n+](=c5\ccn6c(c5F)[NH2+]C=C6)c5[n+]4CC=CC=5)CC3)ccc21,-11.7
8,30,C=C1[N]C(=C2CC[NH+](C(=O)c3cccc4cc(C)ccc34)CC2)n2c(=O)c3c(Cl)cc[nH+]c3c[n+]21,-11.7
6,30,CC1=CCC2=C(C)[NH+]=C(N3CCC(C(=O)NC(=O)[C@H]4C[C@@H](F)[C@@H]5C=Cc6cccc4c65)CC3)[N]C2=C1,-11.7
6,12,CC(=O)N(C(=O)c1cc(F)c2c(c1)c1ccccc1n2C)C([O-])=C1CCN(C2=[NH+]C(C)=C3CC=C(C)C=C3[N]2)CC1,-11.7
5,30,Cc1[nH+]oc2[nH+]c(-c3cccc4ccccc34)cc(C(=O)/[NH+]=C(\N)C3=N[N]C(=O)c4ccccc43)c12,-11.6
0,27,Cc1cc(C(=O)[NH+]2CCC(c3[nH]/[n+](=c4\ccn5cc[nH]c5c4F)c4[n+]3CC=CC=4)CC2)cc2c3ccccc3n(C)c12,-11.6
0,28,Cn1c2ccccc2c2cc(C(O)=[N+]3CCC(c4[nH]/[n+](=c5\ccn6cc[nH]c6c5F)c5[n+]4CC=CC=5)CC3)ccc21,-11.6
6,30,C=C1C=C2[N]C(N3CCC(=C(O)NC(=O)[C@@H]4C[C@H](F)[C@H]5C=Cc6cccc4c65)CC3)=NC(C)=C2CC1,-11.6
6,30,C=C1C=C2[N]C(N3CCC(=C(O)/N=C(\c4n[n-][nH+]n4)c4cc(F)c5c6c(cccc46)C=C5)CC3)=[NH+]C(C)=C2CC1,-11.6
5,30,Cc1[nH+]oc2[nH+]c(-c3cccc4ccccc34)cc(C(=O)NC(=N)C3=N[N]C(=O)c4ccccc43)c12,-11.5
5,30,Cc1noc2[nH+]c(-c3c(F)ccc4ccccc34)cc(C(=O)/[NH+]=C(\N)C3=N[N]C(=O)c4ccccc43)c12,-11.5
5,30,Cc1[nH+]oc2nc(-c3cccc4c3[nH]c3ccccc34)cc(C(=O)NC(=N)C3=N[N]C(=O)c4ccccc43)c12,-11.5
5,30,C=C1CCC[C@H]2C(=O)[N]N=C(/C(N)=[NH+]\C(=O)c3cc(-c4cccc5c6ccccc6n(C)c45)[nH+]c4o[nH+]c(C)c34)[C@@H]12,-11.5
5,30,Cc1noc2nc([C@@H]3CCC[C@@H]4C=CC=C[C@@]34F)cc(C(=O)NC(=O)c3[nH+][nH]c(=O)c4ccccc34)c12,-11.5
5,30,Cc1noc2nc(-c3cccc4c3[nH]c3ccccc34)cc(C(=O)NC(=N)C3=N[N]C(=O)c4ccccc43)c12,-11.5
5,30,Cc1[nH+]oc2nc(-c3cccc4c3[nH]c3ccccc34)cc(C(=O)/[N+](C)=C(/O)C3=N[N]C(=O)c4ccccc43)c12,-11.5
0,23,Cn1c2ccccc2c2cc(C(O)=[N+]3CCC(c4[nH]/[n+](=c5\ccn6c(c5F)[NH2+]C=C6)c5[n+]4CC=CC=5)CC3)ccc21,-11.5
0,23,Cc1cc(C(=O)N2CCC(=C3N/[N+](=c4/ccn5cc[nH]c5c4F)C4=CC=CCN43)CC2)cc2c3ccccc3n(C)c12,-11.5
0,27,Cn1c2ccccc2c2cc(C(N=[N+]=[N-])=[N+]3CCC(c4[nH]/[n+](=c5\ccn6cc[n-]c6c5F)c5[n+]4CC=CC=5)CC3)ccc21,-11.5
8,30,Cc1c(F)cc2c(C(=O)N3CCC4(CC3)C(=O)Nc3ccc(F)cc34)cc3ncc[nH+]c3c2c1F,-11.5
6,30,C=C1[NH+]=C(N2CCC(=C([O-])/N=C(\c3n[n-][nH+]n3)c3cc(F)c4c5c(cccc35)C=C4)CC2)[N]C2=C1CCC(C)=C2,-11.5
4,30,Cc1[nH+]n(C/C(O)=[N+]2\CCC3=C(C2)/C(=C2/C[C@H](C)[C@@H](F)c4ccccc42)N[NH2+]3)c(=O)c2ccccc12,-11.4
7,27,C[C@H]1[C@@H](C(=O)[C@@H]2CCCN(c3[nH+]c[nH+]c4[nH]ccc34)C2)[C@H]2C=CC=C3C=C[C@H]([C@@H]32)[C@@H]1C(F)(F)F,-11.4
7,23,Cc1c(C(F)(F)F)c2c3c(cccc3c1C(=O)[C@@H]1CCCN(c3ncnc4c3ccn4C(=O)c3c[nH+][nH]c(=O)c3)C1)C=C2,-11.4
2,26,Cc1cc(Cn2cc(C(=O)/[NH+]=C(/N)c3cc(F)cc4ccccc34)[nH+]n2)c(F)c2ccccc12,-11.4
5,30,Cc1[nH+]oc2nc(-c3c(F)ccc4ccccc34)cc(C(=O)/[NH+]=C(\N)C3=N[N]C(=O)c4ccccc43)c12,-11.4
5,30,Cc1[nH+]oc2nc(-c3cccc4c5ccccc5n(C)c34)cc(C(=O)NC(=O)C3=N[N]C(=O)c4ccccc43)c12,-11.4
5,30,Cc1noc2[nH+]c(-c3c(F)ccc4ccccc34)cc(C(=O)NC(=[NH2+])C3=N[N]C(=O)c4ccccc43)c12,-11.4
5,30,Cc1noc2[nH+]c(-c3cccc4c3[nH]c3ccccc34)cc(C(=O)/[NH+]=C(\N)C3=N[N]C(=O)c4ccccc43)c12,-11.4
0,29,O=C(c1cccc2ccccc12)[NH+]1CCC(c2[nH]/[n+](=c3/ccn4cc[nH]c4c3F)c3[n+]2CC=CC=3)CC1,-11.4
8,30,Cc1c(F)cc2c(C(=N)N3CCC4(CC3)C(=O)Nc3ccc(F)cc34)cc3ncc[nH+]c3c2c1F,-11.4
8,30,C=C1[N]C(=C2CC[NH+](Cc3cccc4cc(C)ccc34)CC2)n2c(=O)c3c(N=[N+]=[N-])cc[nH+]c3c[n+]21,-11.4
8,30,C=C1[N]C(=C2CCN(Cc3cccc4cc(C)ccc34)CC2)n2c(=O)c3c(Cl)cc[nH+]c3c[n+]21,-11.4
8,30,C=C1[N]C(=C2CC[NH+](C[C@@]3(F)C=CC=C4C=CC=C[C@@]43C)CC2)n2c(=O)c3c(Cl)cc[nH+]c3c[n+]21,-11.4
8,30,Cc1c(F)cc2c(C(=O)N3CCC4(CC3)C(=O)Nc3ccc(F)cc34)cc3nccnc3c2c1F,-11.4
9,13,Cc1cccnc1NC(=O)[C@H]1C[C@@H](C)CN(C([O-])=C2CCN(C(=O)c3cccc4ccccc34)CC2)C1,-11.3
4,30,Cc1nn(C/C(O)=[N+]2/CCC3=C(C2)/C(=C2\C[C@H](C)[C@@H](F)c4ccccc42)[NH2+]N3)c(=O)c2ccccc12,-11.3
7,27,O=C([C@@H]1CCCN(c2nc[nH+]c3c2C=C[N]3)C1)[C@@H]1CC[C@H]2C=CC3=CC=C[C@H]1[C@]32C(F)(F)F,-11.3
5,30,Cc1[nH+]oc2[nH+]c(-c3cccc4c3[nH]c3ccccc34)cc(C(=O)NC(=N)C3=N[N]C(=O)c4ccccc43)c12,-11.3
5,30,Cc1noc2nc(-c3cccc4c3[nH]c3ccccc34)cc(C(=O)NC(=O)c3[nH+][nH]c(=O)c4ccccc34)c12,-11.3
5,30,Cc1[nH+]oc2[nH+]c(-c3cccc4ccccc34)cc(C(O)=[N+]=C(N)C3=N[N]C(=O)c4ccccc43)c12,-11.3
5,30,C=C1CCC[C@H]2C(=O)[N]N=C(/C(N)=N/C(=O)c3cc(-c4cccc5c4[nH]c4ccccc45)[nH+]c4o[nH+]c(C)c34)[C@@H]12,-11.3
5,30,C=C1CCC[C@H]2C(=O)[N]N=C(C(=O)NC(=O)c3cc(-c4cccc5c6ccccc6n(C)c45)nc4onc(C)c34)[C@H]12,-11.3
5,30,Cc1[nH+]oc2nc(-c3c(F)ccc4c5ccccc5n(C)c34)cc(C(=O)NC(=[NH2+])C3=N[N]C(=O)c4ccccc43)c12,-11.3
5,30,Cc1[nH+]oc2[nH+]c(-c3cccc4ccccc34)cc(C(=O)/[NH+]=C(\N=C=O)C3=N[N]C(=O)c4ccccc43)c12,-11.3
5,30,Cc1[nH+]oc2[nH+]c(-c3cccc4ccccc34)cc(C(=O)NC(=O)C3=N[N]C(=O)c4ccccc43)c12,-11.3
5,30,Cc1[nH+]oc2nc(-c3cccc4c3[nH]c3ccccc34)cc(C(=O)NC(=[NH2+])C3=N[N]C(=O)c4ccccc43)c12,-11.3
5,30,Cc1noc2[nH+]c(-c3cccc4c5ccccc5n(C)c34)cc(C(=O)NC(=O)C3=N[N]C(=O)c4ccccc43)c12,-11.3
5,30,Cc1[nH+]oc2nc(-c3cccc4ccccc34)cc(C(=O)/[NH+]=C(\N)C3=N[N]C(=O)c4ccccc43)c12,-11.3
5,30,CC1=CC=C[C@@H](C(=O)N2CCc3onc(-c4cccc5c4[nH]c4ccccc45)c3C2)C1=O,-11.3
0,23,Cn1c2ccccc2c2cc(C(=O)N3CCC(c4[nH]/[n+](=c5\ccn6cc[nH]c6c5F)c5[n+]4CC=CC=5)CC3)ccc21,-11.3
0,29,Cn1c2ccccc2c2cc(C(=O)N3CCC(c4[nH]/[n+](=c5/ccn6cc[nH]c6c5F)c5[n+]4CC=CC=5)CC3)ccc21,-11.3
3,30,C=c1c(C)c2c(c3c1=C(C(=O)[N@H+]1CCC[C@H](C(=O)c4ccc5c6c(cccc46)C=C5)C1)[N]N3)OC(F)(F)O2,-11.3
3,30,C=c1c(C)c2c(c3c1=C(/C(N=[N+]=[N-])=[N+]1/CCC[C@H](C(=O)c4ccc5c6c(cc(F)cc46)C=C5)C1)[N][NH2+]3)OC(F)(F)O2,-11.3
8,30,Cc1c(F)cc2c(C(=O)N3CCC4(CC3)C(=O)[N-]c3ccc(F)cc34)cc3nccnc3c2c1F,-11.3
8,30,Cc1c(F)cc2c(C(=O)N3CCC4(CC3)C(=O)[N]c3ccc(F)cc34)cc3nccnc3c2c1F,-11.3
8,30,C=C1[N]C(=C2CC[NH+](Cc3cccc4c3oc3ccccc34)CC2)n2c(=O)c3c(Cl)cc[nH+]c3c[n+]21,-11.3
8,30,Cc1c(F)cc2c(C(=O)N3CCC4(CC3)C(=O)[N]c3ccc(F)cc34)cc3[nH+]cc[nH+]c3c2c1F,-11.3
8,30,Cc1c(F)cc2c(C(=O)N3CCC4(CC3)C(=O)Nc3ccc(F)cc34)cc3[nH+]ccnc3c2c1F,-11.3
6,30,C=C1C=C2[N]C(N3CCC(=C([O-])/N=C(\c4n[n-][nH+]n4)c4cc(F)c5c6c(cccc46)C=C5)CC3)=[NH+]C(C)=C2CC1,-11.3
6,30,CC1=CCC2=C(C)[NH+]=C(N3CCC(/C(O)=N\C(=O)[C@H]4C[C@@H](F)[C@@H]5C=Cc6cccc4c65)CC3)NC2=C1,-11.3
6,30,Cc1nc(N2CCC(C(=O)NC(=O)c3cc(F)c4c5c(cccc35)C=C4)CC2)nc2ccc(F)cc12,-11.3
9,30,C=c1cc/c(=C2/C=CC(=O)[N][NH2+]2)cc1[N]C(=O)c1c(C)oc2c1-c1[nH+]c3cc(-c4ccc(C)[nH+]c4F)ccc3cc1CC2,-11.2
4,30,Cc1nn(C/C(O)=[N+]2\CCC3=C(C2)/C(=C2/C[C@H](C)[C@@H](F)c4ccccc42)[NH2+]N3)c(=O)c2ccccc12,-11.2
4,30,Cc1[nH+]n(C/C(c2nn[n-]n2)=[N+]2\CCC3=C(C2)/C(=C2/C[C@H](C)[C@H](F)c4ccccc42)NN3)c(=O)c2ccccc12,-11.2
7,25,O=C([C@H]1CCCN(c2nc[nH+]c3[nH]ccc23)C1)[C@@H]1CC[C@H]2C=CC3=CC=C[C@@H]1[C@@]32C(F)(F)F,-11.2
7,30,O=C(c1c2cccc3c2c(c2nonc12)C=C3)[C@@H]1CCCN(c2[nH+]cnc3c2ccn3C(=O)[C@@H]2CC3(CC3)CN2)C1,-11.2
5,30,CC(=O)N(C(=[NH2+])C1=N[N]C(=O)c2ccccc21)C(=O)c1cc(-c2c(F)ccc3ccccc23)nc2o[nH+]c(C)c12,-11.2
5,30,Cc1[nH+]oc2nc(-c3c(F)ccc4c3[nH]c3ccccc34)cc(/C(O)=[NH+]/C(=N)C3=N[N]C(=O)c4ccccc43)c12,-11.2
5,30,Cc1[nH+]oc2nc(-c3cccc4c5ccccc5n(C)c34)cc(C(=O)NC(=[NH2+])C3=N[N]C(=O)c4ccccc43)c12,-11.2
5,30,Cc1noc2nc([C@@H]3c4[nH]c5ccccc5c4CC[C@H]3F)cc(C(=O)NC(=N)C3=N[N]C(=O)c4ccccc43)c12,-11.2
5,30,CC(=O)N(C(=N)C1=N[N]C(=O)c2ccccc21)C(=O)c1cc(-c2cccc3c2[nH]c2ccccc23)[nH+]c2o[nH+]c(C)c12,-11.2
5,30,Cc1[nH+]oc2[nH+]c([C@H]3c4[nH]c5ccccc5c4CC[C@@H]3F)cc(C(=O)NC(=N)C3=N[N]C(=O)c4ccccc43)c12,-11.2
5,30,Cc1[nH+]oc2[nH+]c(-c3c(F)ccc4ccccc34)cc(C(=O)/N=C(\N)C3=N[N]C(=O)c4ccccc43)c12,-11.2
5,30,Cc1noc2nc(-c3cccc4c5ccccc5n(C)c34)cc(C(=O)NC(=[NH2+])C3=N[N]C(=O)c4ccccc43)c12,-11.2
5,30,Cc1[nH+]oc2[nH+]c(-c3cccc4ccccc34)cc(C(=O)/N=C(\O)c3n[nH]c(=O)c4ccccc34)c12,-11.2
5,30,Cc1noc2[nH+]c(-c3cccc4ccccc34)cc(C(=O)/[NH+]=C(\N)C3=N[N]C(=O)c4ccccc43)c12,-11.2
5,30,Cc1[nH+]oc2[nH+]c(-c3c(F)ccc4c3[nH]c3ccccc34)cc(C(=O)NC(=N)C3=N[N]C(=O)c4ccccc43)c12,-11.2
5,30,Cc1[nH+]oc2[nH+]c(-c3cccc4c3[nH]c3ccccc34)cc(C(=O)NC(=[NH2+])C3=N[N]C(=O)c4ccccc43)c12,-11.2
5,30,Cc1[nH+]oc2[nH+]c(-c3c(F)ccc4ccccc34)cc(C(=O)/N=C(/N)C3=N[N]C(=O)c4ccccc43)c12,-11.2
5,30,Cc1noc2nc(-c3c(F)ccc4c3[nH]c3ccccc34)cc(C(=O)NC(=[NH2+])C3=N[N]C(=O)c4ccccc43)c12,-11.2
5,30,Cc1[nH+]oc2nc(-c3cccc4ccccc34)cc(C(=O)/[NH+]=C(/N)C3=N[N]C(=O)c4ccccc43)c12,-11.2
5,30,Cc1[nH+]oc2nc(-c3cccc4ccccc34)cc(C(=O)NC(=O)C3=N[N]C(=O)c4ccccc43)c12,-11.2
