RUN,GEN,SMILES,VINA
4,27,C=C1CC=C2C(=C)NC(N3CCC(=C([O-])N(C)Cc4ccc5c6c(cccc46)C=C5)CC3)=[NH+][C@@H]2C1,-10.3
2,28,C[C@@]1(C2CC[NH+](C(=O)c3ccc4c(c3)C=C3CC=CC=C34)CC2)[N]C(O)=[N+](C2Cc3ccccc3C2)C1=O,-10.2
8,29,CC1=C[C@H]2[NH2+]C(N3CCC([C@@]4(C)NC(N=[N+]=[N-])=[N+](C5Cc6ccccc6C5)C4=O)CC3)=NC(C)=C2C=C1,-10.2
2,27,Cc1cc(-c2cnc[nH+]c2)cc2c1O[C@H](C[N]C(=N)Cc1ccc3c(c1)C=C1CC=CC=C13)C2,-10.1
9,30,Cc1cccnc1[N]C(=O)[C@@H]1CCC[N@@H+](C(O)=C2CC[N+](=C(O)c3ccc4ccccc4c3)CC2)C1,-10.1
9,30,C[C@@H](C1=N[N]C(=O)c2ccccc21)C1=[NH+]c2cc(F)c(F)cc2C(=O)[N@+]12C=CCN(C1Cc3ccccc3C1)CC2,-10.1
4,28,Cc1[nH+]c(N2CCC([C@]3(C)NC(N=[N+]=[N-])=[N+](C4Cc5ccccc5C4)C3=O)CC2)[nH+]c2ccccc12,-10.1
4,28,Cc1[nH+]c(N2CCC([C@@]3(C)[NH2+]C(N=[N+]=[N-])=[N+](C4Cc5ccccc5C4)C3=O)CC2)[nH+]c2ccccc12,-10.1
1,30,C=C1[NH+]=C(N2CCC(=C([O-])[NH2+]Cc3ccc4ccccc4c3)CC2)[N][C@@H]2CC=C(F)C=C12,-10.1
2,19,C[C@@]1(C2CC[NH+](C(=O)c3ccc4c(c3)C=C3CC=CC=C34)CC2)[N]C(=O)[N+](C2Cc3ccccc3C2)=C1O,-10
9,30,C[C@@H](C1=N[N]C(=O)c2ccccc21)C1=[NH+]c2cc(F)c(F)cc2C(=O)[N@+]12C=CC[N@H+](C1Cc3ccccc3C1)CC2,-10
4,19,CC1=C[C@H]2[N]C(N3CCC(=C(O)N(C)Cc4ccc5c6c(cccc46)C=C5)CC3)=[NH+]C(C)=C2C=C1,-10
8,26,CC1=C[C@H]2[N]C(N3CCC([C@]4(C)[N]C(N=[N+]=[N-])=[N+](C5Cc6ccccc6C5)C4=O)CC3)=[NH+]C(C)=C2C=C1,-10
8,26,CC1=C[C@H]2N=C(N3CCC([C@@]4(C)[N]C(N=[N+]=[N-])=[N+](C5Cc6ccccc6C5)C4=O)CC3)N=C(C)C2=CC1,-10
