RUN,GEN,SMILES,VINA
3,19,Cc1ccc2c(c1)-c1c(C)cccc1[C@@H]2N/C([O-])=C1/CCC(=N)N(C2Cc3ccccc3C2)C1,-12.6
3,24,Cc1ccc2c(c1)-c1c(C)cccc1[C@@H]2N/C(N=C=S)=C1/CCC(=N)N(C2Cc3ccccc3C2)C1,-12.5
3,24,Cc1ccc2c(c1)-c1c(C)cccc1[C@@H]2N/C(N=C=S)=C1/CCC(=[NH2+])N(C2Cc3ccccc3C2)C1,-12.5
3,30,Cc1ccc2c(c1)-c1c(C)cccc1[C@@H]2[NH2+]/C([O-])=C1/CCC(=[NH2+])N(C2Cc3ccccc3C2)C1,-12.5
8,25,CC1=[N+](C(=O)c2ccccc2)C(=[N+]2CCC(C(=O)[N]C[C@@H]3Cc4ccc(F)cc4C3)CC2)[N][C@@H]2CC3=C(C=C12)CCC3,-12.5
2,25,C[C@]1(C2CC[NH+](CC3=C[C@@H]4C=c5ccccc5=C4C=C3)CC2)[N]C(N)=[N+](C2Cc3ccccc3C2)C1=O,-12.4
3,19,Cc1ccc2c(c1)-c1c(C)cccc1[C@@H]2N/C(N)=C1/CCC(=[NH2+])N(C2Cc3ccccc3C2)C1,-12.4
3,24,Cc1ccc2c(c1)-c1c(C)cccc1[C@@H]2N/C([O-])=C1/CCC(=[NH2+])N(C2Cc3ccccc3C2)C1,-12.4
3,24,Cc1ccc2c(c1)-c1c(C)cccc1[C@@H]2N/C([NH3+])=C1/CCC(=N)N(C2Cc3ccccc3C2)C1,-12.4
3,24,Cc1ccc2c(c1)-c1c(C)cccc1[C@@H]2N/C([O-])=C1\CCC(=[NH2+])N(C2Cc3ccccc3C2)C1,-12.4
3,30,Cc1ccc2c(c1)-c1c(C)cccc1[C@@H]2N/C([O-])=C1/CCC(N)=[N+](C2Cc3ccccc3C2)C1,-12.4
2,27,C[C@]1(C2CCN(CC3=C[C@@H]4C=c5ccccc5=C4C=C3)CC2)N=C(O)N(C2Cc3ccccc3C2)C1=O,-12.3
3,19,Cc1ccc2c(c1)-c1c(C)cccc1[C@@H]2[NH2+]/C(O)=C1/CCC(=[NH2+])N(C2Cc3ccccc3C2)C1,-12.3
