Run,Iteration,SMILES,Deep Frag Score,VINA
3,1,O=C(c1cccc(C(F)(F)F)c1)N1CCC(N2CCc3cc(F)cc(O)c32)CC1,0.820272,-11.47
9,7,CCc1c(C2(O)NC(=O)c3ccc(F)c(F)c3N2)c(C)nn1Cc1cc(F)c(F)c2cc(F)ccc12,0.935092,-11.34
9,5,Cc1nn(Cc2cc(F)c(F)c3ccccc23)c(C)c1C1(O)NC(=O)c2cc(F)c(F)cc2N1,0.933333,-11.13
9,8,CCc1c(C2(O)NC(=O)c3ccc(F)c(F)c3N2F)c(C)nn1Cc1cc(F)c(F)c2cccc(C)c12,0.785261,-11.04
9,7,CCc1c(C2(O)NC(=O)c3ccc(F)c(F)c3N2)c(C)nn1Cc1cc(F)c(F)c2cccc(C)c12,0.855399,-10.96
10,4,Cc1[nH]c2ccc(C(=O)N3C4CCC3(O)CC(O)(C(O)c3cc(F)c(F)c(F)c3F)C4)cc2c1C,0.80726,-10.92
9,5,Cc1nn(Cc2cc(F)c(F)c3cccc(N)c23)c(C)c1C1(O)NC(=O)c2ccc(F)cc2N1,0.638567,-10.89
9,5,COc1cc(F)cc2c1C(=O)NC(O)(c1c(C)nn(Cc3cc(F)c(F)c4ccccc34)c1C)N2,0.590312,-10.87
9,6,Cc1nn(C(N)c2cc(F)c(F)c3ccccc23)c(C)c1C1(O)NC(=O)c2ccc(F)c(F)c2N1,0.891413,-10.85
9,6,Cc1nn(Cc2c(F)c(F)c(F)c3ccccc23)c(C)c1C1(O)NC(=O)c2ccc(F)c(F)c2N1,0.707257,-10.83
9,5,Cc1nn(Cc2c(F)c(F)c(F)c3ccccc23)c(C)c1C1(O)NC(=O)c2ccc(F)cc2N1,0.9451,-10.83
9,7,CCc1c(C2(O)NC(=O)c3ccc(F)c(F)c3N2F)c(C)nn1Cc1cc(F)c(F)c2ccccc12,0.987623,-10.82
9,5,Cc1nn(Cc2cc(F)c(F)c3ccccc23)c(C)c1C1(O)NC(=O)c2ccc(F)c(O)c2N1,0.69699,-10.79
9,10,CCc1c(C2(OC)NC(=O)c3ccc(F)c(F)c3N2F)c(C)nn1C(C)c1c(O)c(F)c(F)c2ccccc12,0.736577,-10.78
5,6,Cc1cc(C(C)N2C(=O)N(C(C)C)C3(CCC(N)c4ccccc43)C2=O)cc2c1OCC(O)CO2,0.597964,-10.78
9,7,CCc1c(C2(O)NC(=O)c3ccc(F)c(F)c3N2)c(C)nn1Cc1cc(F)c(F)c2cccc(O)c12,0.795925,-10.77
5,7,COc1c(F)ccc2c1C1(CCC2)C(=O)N(C(C)c2cc(C)c3c(c2)OCC(O)CO3)C(=O)N1C(C)C,0.635959,-10.77
9,5,Cc1nn(Cc2cc(F)c(F)c3c(O)cccc23)c(C)c1C1(O)NC(=O)c2ccc(F)cc2N1,0.931343,-10.77
9,3,Cc1nn(Cc2cc(F)cc3cccc(C)c23)c(C)c1C1NC(=O)c2ccc(F)cc2N1,0.754649,-10.73
9,10,CCc1c(C2(OC)NC(=O)c3ccc(F)c(F)c3N2F)c(C)nn1C(C)c1cc(F)c(F)c2ccc(C=O)cc12,0.559137,-10.72
4,10,O=C(CN1CCN(c2c(CF)cc(O)c(O)c2O)CC1)N1N=C(c2ccc3c(O)c(O)c(O)cc3c2)C(F)C1c1cccc(F)c1F,0.924444,-10.71
9,4,Cc1nn(Cc2cc(F)cc3ccccc23)c(C)c1C1(O)NC(=O)c2cc(O)c(F)cc2N1,0.834797,-10.71
3,2,O=C(c1cccc(C(F)(F)F)c1)N1CCC(N2CCc3cc(F)ccc32)C(CO)C1O,0.597219,-10.68
9,3,Cc1nn(Cc2cc(F)cc3ccccc23)c(C)c1C1(O)NC(=O)c2ccc(F)cc2N1,0.991199,-10.66
9,7,Cc1nn(Cc2cc(F)c(F)c3ccccc23)c(C(C)C)c1C1(O)NC(=O)c2ccc(F)c(F)c2N1,0.840552,-10.65
9,7,CCc1c(C2(O)NC(=O)c3ccc(F)c(F)c3N2)c(C)nn1C(C#N)c1cc(F)c(F)c2ccccc12,0.550175,-10.63
9,4,Cc1nn(Cc2c(F)c(F)cc3ccccc23)c(C)c1C1(O)NC(=O)c2ccc(F)cc2N1,0.981714,-10.62
4,5,CCC1CN(CC(=O)N2N=C(c3ccc4c(O)cccc4c3)CC2c2ccccc2F)CCN1c1cc(O)c(O)cc1C,0.550707,-10.6
9,6,Cc1cc(F)c(F)c2c1C(=O)NC(O)(c1c(C)nn(Cc3cc(F)c(F)c4ccccc34)c1C)N2,0.847813,-10.59
9,6,Cc1nn(Cc2cc(F)c(F)c3c(O)cccc23)c(C)c1C1(O)NC(=O)c2ccc(F)c(F)c2N1,0.954675,-10.58
4,8,Cc1cc(O)c(O)cc1N1CCN(CC(=O)N2N=C(c3ccc4c(O)cc(O)cc4c3)C(F)C2c2cccc(F)c2F)CC1OO,0.570533,-10.58
9,5,CCc1c(C2(O)NC(=O)c3ccc(F)cc3N2)c(C)nn1Cc1cc(F)c(F)c2ccccc12,0.913507,-10.57
4,8,CCC1CN(c2cc(O)c(O)cc2C)CCN1CC(=O)N1N=C(c2ccc3c(O)cc(O)cc3c2)C(F)C1c1cccc(F)c1F,0.629028,-10.55
9,6,Cc1nn(Cc2cc(F)c(F)c3c(F)cccc23)c(C)c1C1(O)NC(=O)c2ccc(F)c(F)c2N1,0.764106,-10.55
9,6,C=CCc1c(C2(O)NC(=O)c3ccc(F)c(F)c3N2)c(C)nn1Cc1cc(F)c(F)c2ccccc12,0.573444,-10.55
9,4,Cc1nn(Cc2cc(F)cc3ccccc23)c(C)c1C1(O)NC(=O)c2ccc(F)c(F)c2N1,0.95318,-10.54
9,5,Cc1nn(Cc2cc(F)c(F)c3cccc(O)c23)c(C)c1C1(O)NC(=O)c2ccc(F)cc2N1,0.55382,-10.53
9,8,CCc1c(C2(O)NC(=O)c3cc(F)c(F)c(F)c3N2F)c(C)nn1Cc1cc(F)c(F)c2ccccc12,0.86307,-10.53
9,7,CCc1c(C2(O)NC(=O)c3ccc(F)c(F)c3N2)c(C)nn1Cc1cc(F)c(F)c2c(O)cccc12,0.935482,-10.53
9,7,Cc1nn(Cc2cc(F)c(F)c3ccccc23)c(C(C)O)c1C1(O)NC(=O)c2ccc(F)c(F)c2N1,0.662195,-10.53
9,5,Cc1nn(Cc2cc(F)c(F)c3c(F)cccc23)c(C)c1C1(O)NC(=O)c2ccc(F)cc2N1,0.892919,-10.53
9,5,Cc1c(C2(O)NC(=O)c3ccc(F)cc3N2)c(CO)nn1Cc1cc(F)c(F)c2ccccc12,0.598175,-10.51
9,5,Cc1nn(C(N)c2cc(F)c(F)c3ccccc23)c(C)c1C1(O)NC(=O)c2ccc(F)cc2N1,0.869563,-10.51
9,8,CCc1c(C2(O)NC(=O)c3ccc(F)c(F)c3N2F)c(C)nn1Cc1cc(F)c(F)c2c(O)cccc12,0.763467,-10.51
9,8,CCCCc1c(C2(O)NC(=O)c3ccc(F)c(F)c3N2F)c(C)nn1Cc1cc(F)c(F)c2ccccc12,0.545776,-10.5
9,6,Cc1nn(Cc2c(O)c(F)c(F)c3ccccc23)c(C)c1C1(O)NC(=O)c2ccc(F)c(F)c2N1,0.724873,-10.49
9,8,CCc1c(C2(O)NC(=O)c3c(O)cc(F)c(F)c3N2F)c(C)nn1Cc1cc(F)c(F)c2ccccc12,0.760129,-10.49
9,7,CCc1c(C2(O)NC(=O)c3ccc(F)c(F)c3N2)c(C)nn1C(C)c1cc(F)c(F)c2ccccc12,0.924831,-10.48
9,6,Cc1nn(Cc2cc(F)c(F)c3ccccc23)c(CC=O)c1C1(O)NC(=O)c2ccc(F)c(F)c2N1,0.610819,-10.48
9,4,Cc1nn(Cc2cc(F)c(O)c3ccccc23)c(C)c1C1(O)NC(=O)c2ccc(F)cc2N1,0.771802,-10.47
9,4,Cc1nn(C(N)c2cc(F)cc3ccccc23)c(C)c1C1(O)NC(=O)c2ccc(F)cc2N1,0.637721,-10.47
3,2,O=C(c1cccc(C(F)(F)F)c1)N1CCC(O)(N2CCc3cc(F)ccc32)CC1O,0.556895,-10.46
7,1,COC1CN(S(=O)(=O)c2ccc3c(c2)CCCC3)CCN1Cc1nc2sc3c(c2c(=O)[nH]1)CCCC3,0.604508,-10.46
4,1,Cc1cc2ccccc2cc1C1=NN(C(=O)CN2CCN(c3ccccc3C)CC2)C(c2ccccc2)C1,0.60237,-10.45
4,3,Cc1ccc(O)cc1N1CCN(C(CO)C(=O)N2N=C(c3ccc4c(O)cccc4c3)CC2c2ccccc2)CC1,0.616954,-10.45
9,6,COc1cccc2c(Cn3nc(C)c(C4(O)NC(=O)c5ccc(F)c(F)c5N4)c3C)cc(F)c(F)c12,0.627255,-10.44
9,6,Cc1nn(Cc2cc(F)c(F)c3c(OO)cccc23)c(C)c1C1(O)NC(=O)c2ccc(F)c(F)c2N1,0.552728,-10.43
9,7,CCc1c(C2(O)NC(=O)c3ccc(F)c(F)c3N2)c(C)nn1Cc1cc(F)c(F)c2c(C)cccc12,0.684636,-10.43
9,5,Cc1nn(Cc2cc(F)c(F)c3cccc(CO)c23)c(C)c1C1(O)NC(=O)c2ccc(F)cc2N1,0.564293,-10.42
9,5,Cc1nn(Cc2cc(F)c(F)c3ccccc23)c(C)c1C1(O)NC(=O)c2cc(O)c(F)cc2N1,0.705336,-10.42
9,6,Cc1nn(Cc2cc(F)c(F)c3cc(O)ccc23)c(C)c1C1(O)NC(=O)c2ccc(F)c(F)c2N1,0.940334,-10.41
4,10,Cc1cc(O)c(O)c(O)c1N1CCN(CC(=O)N2N=C(c3ccc4c(O)c(O)c(O)cc4c3)C(C)(F)C2c2cccc(F)c2F)CC1,0.765715,-10.41
