Run,Iteration,SMILES,Deep Frag Score,VINA
6,2,Cc1ccc(NC(=O)c2cccc(S(=O)(=O)N3CCc4cc(O)ccc4C3)c2)nc1F,0.570944,-9.895
6,3,Cc1ccc(NC(=O)c2cccc(S(=O)(=O)N3CCc4cc(O)c(O)cc4C3)c2)nc1O,0.966584,-9.799
8,8,Cc1c(N2CCN(CC(=O)N3N=C(c4cc(O)c5ccccc5c4)CC3c3cc(F)c(F)c(F)c3F)CC2)cc(ON)c(O)c1O,0.57019,-9.714
6,2,Cc1ccc(NC(=O)c2cccc(S(=O)(=O)N3CCc4cc(O)ccc4C3O)c2)nc1,0.668619,-9.696
6,3,Cc1cnc(NC(=O)c2cccc(S(=O)(=O)N3CCc4cc(O)c(O)cc4C3)c2)c(F)c1,0.604939,-9.677
5,6,COc1cc(-c2nnc(C(OC(=O)C=Cc3c(C)nn(Cc4ccc(C)cc4)c3C)C(O)OC)o2)ccc1[N+](=O)[O-],0.647271,-9.672
5,2,Cc1ccc(Cn2nc(C)c(C(O)=CC(=O)OCc3nnc(-c4ccc([N+](=O)[O-])c(O)c4)o3)c2C)cc1,0.92867,-9.658
2,1,Cc1ccc(Cn2nc(C)c3c(C)c(C(=O)OCc4cc(=O)oc5ccc6ccccc6c45)sc32)cc1,0.597846,-9.618
5,2,Cc1ccc(Cn2nc(C)c(C=CC(=O)OCc3nnc(-c4cc(O)c([N+](=O)[O-])c(O)c4)o3)c2C)cc1,0.97717,-9.612
5,1,Cc1ccc(C(O)n2nc(C)c(C=CC(=O)OCc3nnc(-c4ccc([N+](=O)[O-])cc4)o3)c2C)cc1,0.584033,-9.568
2,2,Cc1ccc(Cn2nc(C)c3c(O)c(C(=O)OCc4cc(=O)oc5ccc6cccc(O)c6c45)sc32)cc1,0.794675,-9.567
6,3,Cc1cnc(NC(=O)c2cccc(S(=O)(=O)N3CCc4cc(O)c(O)cc4C3)c2)c(O)c1,0.982055,-9.559
5,4,COc1cc(-c2nnc(C(C)OC(=O)C=Cc3c(C)nn(Cc4ccc(C)cc4)c3C)o2)cc(F)c1[N+](=O)[O-],0.68845,-9.529
6,2,COc1c(C(=O)Nc2ccc(C)cn2)cccc1S(=O)(=O)N1CCc2cc(O)ccc2C1,0.678088,-9.525
6,3,Cc1cnc(NC(=O)c2cccc(S(=O)(=O)N3CCc4cc(O)c(O)cc4C3)c2)cc1O,0.966613,-9.523
5,5,COc1cc(-c2nnc(C(CO)OC(=O)C=C(O)c3c(C)nn(Cc4ccc(C)cc4)c3C)o2)ccc1[N+](=O)[O-],0.902416,-9.508
2,4,COc1cccc2ccc3oc(=O)cc(C(C)OC(=O)c4sc5c(c(C)nn5Cc5ccc(C)cc5)c4C)c3c12,0.823043,-9.481
