Run,Iteration,SMILES,Deep Frag Score,VINA
2,5,COc1cc(=O)n2c(c1C(=O)N1CCc3c(F)cc(F)cc3C1C)C(CN)CN(C(C)c1cccc3ccccc13)CC2,0.570733,-12.17
2,4,C#CCC1CN(C(C)c2cccc3ccccc23)CCc2c(C(=O)N3CCc4ccc(F)cc4C3C)c(OC)cc(=O)n21,0.572279,-11.75
8,8,CCOC1(C2c3[nH]c4ccccc4c3CCN2C(=O)c2nc(=O)[nH]c3ccccc23)CCC(F)(F)C(F)(F)C1F,0.635275,-11.69
2,9,COc1cc(C(C)N2CCc3c(C(=O)N4CCc5c(F)cc(F)cc5C4C)c(OCC(=O)O)cc(=O)n3CC2)c2cccc(O)c2c1O,0.651785,-11.66
7,6,CC1CC2(CCN1C(C)c1cc3ccccc3[nH]c1=O)CC2C(=O)NCC1(c2ccccc2)CC(F)(F)C(F)(F)C1,0.872456,-11.6
9,8,Cc1c(CN2CCc3nnc(C(C)N(C)C(=O)Cc4ccc(F)c(F)c4)n3CC2)cccc1-c1cc(O)ccc1C(F)(F)F,0.550901,-11.55
2,7,COc1cc(=O)n2c(c1C(=O)N1CCc3c(F)cc(F)cc3C1C)CCN(C(C)c1cc(O)c(O)c3ccccc13)C(CN)C2,0.617531,-11.55
2,5,COc1cc(=O)n2c(c1C(=O)N1CCc3c(F)cc(F)cc3C1C)CCN(C(C)(C)c1cccc3ccccc13)CC2,0.825273,-11.54
2,5,COc1cc(=O)n2c(c1C(=O)N1CCc3c(F)cc(F)cc3C1C)C(C)CN(C(C)c1cccc3ccccc13)CC2,0.927873,-11.5
2,5,COc1cc(=O)n2c(c1C(=O)N1CCc3c(F)cc(F)cc3C1C)CCN(C(C)c1cccc3ccccc13)CC2CO,0.581458,-11.49
5,2,O=C(c1cccc(-c2ccccc2F)c1)N1CCC2(CC1)CC2C(=O)N(O)c1ccc(-n2cc(O)cn2)cc1,0.615096,-11.49
2,7,COc1cc(=O)n2c(c1C(=O)N1CC(O)c3c(F)cc(F)cc3C1C)CCN(C(C)c1cc(O)c(O)c3ccccc13)CC2,0.715079,-11.47
2,3,COc1cc(=O)n2c(c1C(=O)N1CCc3ccc(F)cc3C1C)CCN(Cc1cccc3cc(F)ccc13)CC2,0.874709,-11.46
2,4,COc1cc(=O)n2c(c1C(=O)N1CCc3ccc(F)cc3C1C)C(O)CN(C(C)c1cccc3ccccc13)CC2,0.960857,-11.45
2,6,COc1cc(=O)n2c(c1C(=O)N1CCc3c(F)cc(F)cc3C1C)CCN(C(C)c1cc(ON)c(O)c3ccccc13)CC2,0.570168,-11.45
2,8,COc1cc(=O)n2c(c1C(=O)N1CCc3c(F)cc(F)cc3C1C)C(C)CN(C(C)c1cc(OC)c(O)c3ccccc13)CC2,0.958237,-11.43
2,4,CC(c1cccc2ccccc12)N1CCc2c(C(=O)N3CCc4ccc(F)cc4C3C)c(OCCO)cc(=O)n2CC1,0.727045,-11.41
8,1,O=C(c1nc(=O)[nH]c2ccccc12)N1CCc2c([nH]c3cccc(F)c23)C1C1CCCCC1,0.911834,-11.4
2,3,COc1c(C(=O)N2CCc3ccc(F)cc3C2C)c2n(c(=O)c1O)CCN(Cc1cccc3ccccc13)CC2,0.841125,-11.39
2,2,COc1cc(=O)n2c(c1C(=O)N1CCc3c(O)cccc3C1C)CCN(Cc1cccc3ccccc13)CC2,0.878952,-11.36
1,1,Cn1nc(C(=O)N2CCc3ccccc3C2)c2c1CCC(N1CC=C(c3ccccc3F)CC1)C2,0.708812,-11.36
2,8,COc1cc(C(C)N2CCc3c(C(=O)N4CCc5c(F)cc(F)cc5C4C)c(OCCO)cc(=O)n3CC2)c2ccccc2c1O,0.658954,-11.34
2,5,COc1cc(=O)n2c(c1C(=O)N1CCc3c(F)cc(F)cc3C1C)CCN(C(C)c1cccc3ccccc13)CC2OC,0.559978,-11.31
2,3,COc1cc(=O)n2c(c1C(=O)N1CCc3ccc(F)cc3C1C)CCN(C(C)c1cccc3ccccc13)CC2,0.986385,-11.29
2,3,COc1cc(=O)n2c(c1C(=O)N1CCc3ccc(F)cc3C1C)CCN(Cc1cccc3cccc(C)c13)CC2,0.575635,-11.27
2,4,COc1cc(=O)n2c(c1C(=O)N1CCc3ccc(F)cc3C1C)CCN(C(C)c1cccc3ccccc13)C(C#[SH])C2,0.560322,-11.25
2,4,CCC1Cc2c(C(=O)N3CCc4ccc(F)cc4C3C)c(OC)cc(=O)n2CCN1C(C)c1cccc2ccccc12,0.561862,-11.24
5,3,O=C(Nc1ccc(-n2cc(O)cn2)cc1)C1C(O)C12CCN(C(=O)c1cccc(-c3ccccc3F)c1)CC2F,0.696438,-11.23
2,6,COc1cc(=O)n2c(c1C(=O)N1CCc3c(F)cc(F)cc3C1C)C(CO)CN(C(C)c1ccc(O)c3ccccc13)CC2,0.567693,-11.23
8,9,CCOC1(C2c3[nH]c4ccccc4c3C(O)CN2C(=O)c2nc(=O)[nH]c3cccc(CC)c23)CCC(F)(F)C(F)(F)C1,0.568348,-11.21
2,7,COc1cc(=O)n2c(c1C(=O)N1C(CCl)Cc3c(F)cc(F)cc3C1C)CCN(C(C)c1cc(O)c(O)c3ccccc13)CC2,0.554997,-11.21
7,4,Nc1cccc(C2(CNC(=O)C3CC34CCN(Cc3cc5ccccc5[nH]c3=O)CC4)CC(F)C(F)(F)C2)c1,0.74165,-11.21
8,3,C#CC1CCC(F)CC1(O)C1c2[nH]c3ccccc3c2CCN1C(=O)c1nc(=O)[nH]c2ccccc12,0.55405,-11.2
2,1,COc1cc(=O)n2c(c1C(=O)N1CCc3ccccc3C1)CCN(Cc1cccc3ccccc13)CC2C(C)O,0.598653,-11.2
9,6,CC(NC(=O)Cc1cc(O)cc(F)c1)c1nnc2n1CCN(Cc1cccc(-c3cc(O)ccc3C(F)(F)F)c1)CC2,0.791716,-11.18
2,4,COc1cc(=O)n2c(c1C(=O)N1CCc3ccc(F)cc3C1C)CCN(C(C)c1cccc3cc(F)ccc13)CC2,0.975627,-11.17
2,4,COc1cc(=O)n2c(c1C(=O)N1CCc3ccc(F)cc3C1C)CCN(C(C)c1cccc3cccc(O)c13)CC2,0.612872,-11.17
9,7,Cc1cc(F)c(F)cc1CC(=O)NC(C)c1nnc2n1CCN(Cc1cccc(-c3cc(O)ccc3C(F)(F)F)c1)CC2,0.760429,-11.16
2,1,COc1cc(=O)n2c(c1C(=O)N1Cc3ccccc3C(F)C1)CCN(Cc1cccc3ccccc13)CC2,0.862024,-11.13
9,6,CC(NC(=O)Cc1cccc(F)c1)c1nnc2n1CCN(Cc1cccc(-c3cc(O)ccc3C(F)(F)F)c1)C(CO)C2,0.624077,-11.12
1,2,Cn1nc(C(=O)N2CCc3ccc(O)cc3C2)c2c1CCC(N1CC=C(c3cccc(O)c3)CC1)C2,0.941025,-11.1
1,1,Cn1nc(C(=O)N2CCc3ccccc3C2)c2c1CCC(N1CCC(c3ccccc3)=CC1O)C2,0.8166,-11.1
2,3,COc1cc(=O)n2c(c1C(=O)N1CCc3c(C)cc(F)cc3C1C)CCN(Cc1cccc3ccccc13)CC2,0.550185,-11.09
2,3,COc1cc(=O)n2c(c1C(=O)N1CCc3ccc(F)cc3C1C)CCN(Cc1cccc3cc(ON)ccc13)CC2,0.563417,-11.08
2,2,COc1cc(=O)n2c(c1C(=O)N1CCc3ccccc3C1C)CCN(Cc1cccc3ccccc13)C(CS)C2,0.562422,-11.07
2,4,COc1cc(=O)n2c(c1C(=O)N1CCc3ccc(F)cc3C1C)CC(N)N(C(C)c1cccc3ccccc13)CC2,0.714778,-11.05
2,8,CCOc1c(OC)c(C(=O)N2CCc3c(F)cc(F)cc3C2C)c2n(c1=O)CCN(C(C)c1cc(OC)c(O)c3ccccc13)CC2,0.562315,-11.05
2,3,COc1cc(=O)n2c(c1C(=O)N1CCc3ccc(F)cc3C1C)CCN(Cc1cccc3ccccc13)CC2CO,0.626145,-11.05
2,4,COc1c(C(=O)N2CCc3ccc(F)cc3C2C)c2n(c(=O)c1C=O)CCN(C(C)c1cccc3ccccc13)CC2,0.617774,-11.04
8,5,O=C(c1nc(=O)[nH]c2ccccc12)N1CCc2c([nH]c3ccc(F)cc23)C1C1(O)CCC(F)C(F)(F)C1,0.686405,-11.04
2,3,COc1cc(=O)n2c(c1C(=O)N1CCc3ccc(F)cc3C1C)CCN(Cc1cccc3ccccc13)C(CBr)C2,0.563139,-11.04
1,5,CCn1nc(C(=O)N2CCc3ccccc3C2)c2c1CCC(N1CC=C(c3cccc(O)c3O)C(O)C1)C2O,0.800798,-11.04
2,2,COc1cc(=O)n2c(c1C(=O)N1CCc3ccccc3C1C)C(O)CN(Cc1cccc3ccccc13)CC2,0.768556,-11.04
8,6,COC1(C2c3[nH]c4cccc(C)c4c3CCN2C(=O)c2nc(=O)[nH]c3ccccc23)CCC(F)C(F)(F)C1,0.864789,-11.03
2,5,COc1cc(=O)n2c(c1C(=O)N1CCc3c(F)cc(F)cc3C1C)CC(C#N)N(C(C)c1cccc3ccccc13)CC2,0.556598,-11.02
8,4,O=C(c1nc(=O)[nH]c2ccccc12)N1CCc2c([nH]c3ccccc23)C1C1(O)CC(F)C(F)C(F)C1,0.780298,-11.01
2,8,COc1cc(C(C)N2CCc3c(C(=O)N4CCc5c(F)cc(F)cc5C4C)c(OC)c(O)c(=O)n3CC2)c2ccccc2c1O,0.893374,-11.01
8,10,CCOC1(C2c3[nH]c4c(C)cccc4c3C(OC)CN2C(=O)c2nc(=O)[nH]c3ccccc23)CCC(F)(F)C(F)(F)C1,0.733515,-11.0
2,8,COc1cc(=O)n2c(c1C(=O)N1CCc3c(F)cc(F)cc3C1C)CCN(C(C)c1cc(OCCO)c(O)c3ccccc13)CC2,0.645749,-11.0
2,7,COc1cc(=O)n2c(c1C(=O)N1CCc3c(F)cc(F)cc3C1CO)CCN(C(C)c1cc(O)c(O)c3ccccc13)CC2,0.825672,-10.99
2,7,COc1cc(=O)n2c(c1C(=O)N1CCc3c(F)cc(F)cc3C1C)CCN(C(C)c1cc(O)c(O)c3ccccc13)CC2CS,0.571457,-10.98
2,4,COc1cc(=O)n2c(c1C(=O)N1CCc3ccc(F)cc3C1C)CCN(C(C)c1cccc3ccccc13)CC2CI,0.564529,-10.97
2,6,COc1cc(=O)n2c(c1C(=O)N1CCc3c(F)cc(F)cc3C1C)CCN(C(C)(C)c1ccc(O)c3ccccc13)CC2,0.836974,-10.97
2,9,COc1cc(=O)n2c(c1C(=O)N1CCc3c(F)cc(F)cc3C1C)C(N)CN(C(C)c1cc(OC)c(O)c3c(O)cccc13)CC2,0.638613,-10.96
2,8,COc1cc(=O)n2c(c1C(=O)N1CCc3c(F)cc(F)c(F)c3C1C)CCN(C(C)c1cc(OC)c(O)c3ccccc13)CC2,0.801033,-10.96
2,3,COc1cc(=O)n2c(c1C(=O)N1CCc3ccc(F)cc3C1C)CCN(C(C#N)c1cccc3ccccc13)CC2,0.574579,-10.95
9,1,Cc1ccccc1-c1cccc(CN2CCc3nnc(CNC(=O)Cc4cccc(F)c4)n3C(O)C2)c1,0.990368,-10.95
2,9,COc1cc(=O)n2c(c1C(=O)N1CCc3c(F)cc(F)cc3C1C)CC(N)N(C(C)c1cc(OC)c(O)c3c(O)cccc13)CC2,0.694092,-10.95
2,7,COc1cc(=O)n2c(c1C(=O)N1CCc3c(F)cc(F)cc3C1C)CC(N)N(C(C)c1cc(O)c(O)c3ccccc13)CC2,0.777019,-10.95
2,2,COc1cc(=O)n2c(c1C(=O)N1CCc3ccccc3C1C)CCN(Cc1cccc3ccccc13)CC2CO,0.586281,-10.94
2,5,COc1cc(=O)n2c(c1C(=O)N1CCc3c(F)cc(F)cc3C1C)CC(C)N(C(C)c1cccc3ccccc13)CC2,0.937423,-10.94
2,5,COc1c(C(=O)N2CCc3c(F)cc(F)cc3C2C)c2n(c(=O)c1C)CCN(C(C)c1cccc3ccccc13)CC2,0.930258,-10.94
8,6,COC1(C2c3[nH]c4ccccc4c3CCN2C(=O)c2nc(=O)[nH]c3ccccc23)CC(F)(F)C(F)CC1C,0.776099,-10.94
8,6,COC1(C2c3[nH]c4c(C)cccc4c3CCN2C(=O)c2nc(=O)[nH]c3ccccc23)CCC(F)C(F)(F)C1,0.641806,-10.92
9,7,CC(NC(=O)Cc1ccc(F)c(F)c1)c1nnc2n1CCN(Cc1cccc(-c3cc(O)ccc3C(F)(F)F)c1)CC2OO,0.558113,-10.92
9,6,CC(NC(=O)Cc1cccc(F)c1)c1nnc2n1CCN(Cc1cc(-c3cc(O)ccc3C(F)(F)F)ccc1O)CC2,0.77575,-10.92
2,1,COc1cc(=O)n2c(c1C(=O)N1CCc3ccccc3C1)CCN(Cc1c(C)ccc3ccccc13)CC2,0.683691,-10.91
2,5,COc1cc(=O)n2c(c1C(=O)N1C(C(=O)O)Cc3c(F)cc(F)cc3C1C)CCN(C(C)c1cccc3ccccc13)CC2,0.551584,-10.91
2,5,COc1cc(=O)n2c(c1C(=O)N1CCc3c(F)cc(F)cc3C1C)CCN(C(C)c1cccc3ccccc13)C(C)C2,0.895924,-10.91
1,7,CCn1nc(C(=O)N2CCc3ccccc3C2)c2c1C(F)CC(N1CC=C(c3cccc(OC)c3O)C(O)(O)C1)C2,0.886884,-10.9
2,5,COc1cc(=O)n2c(c1C(=O)N1CCc3c(F)cc(F)cc3C1C)CCN(C(C)c1cccc3ccccc13)CC2C,0.866172,-10.9
9,9,CC(c1nnc2n1CCN(Cc1cccc(-c3cc(O)c(O)c(F)c3C(F)(F)F)c1)CC2)N(C)C(=O)Cc1ccc(F)c(F)c1,0.878113,-10.9
