SMILES,VINA,QED,MULTI,Molecular Weight
O=C1N=NC(=O)c2cc(N3CCC[C@@H](c4nnc([C@H]5CC[C@H]([C@H]6SC(N(c7ccccc7)N7CCc8ccccc87)=NC6=O)CC5)[nH]4)C3)ccc21,-11.37,0.23317274483901326,-5.47921597526583,699.8410000000001
C[C@H]1CN(Cc2nn([C@@H]3CN(S(=O)(=O)Nc4cccc(-c5ccc(=O)[nH]n5)c4)Cc4ccccc43)c(=O)c3ccccc23)c2ccccc21,-10.65,0.24328326562123734,-4.698004881074846,671.783
Cc1ccc2[nH]c([C@@H]3[C@@H](Sc4nc5ccc(C)cc5[nH]4)CCN3c3cccc(C4=N[C@@H](CCc5nc(=O)c6ccccc6[nH]5)N=N4)c3)nc2c1,-10.63,0.15125953773187475,-4.6763045729028745,678.826
Cc1ccc2c(c1)CCCN2[C@H]1CNCCCN1[C@@H]1CCC[C@@H](c2nnc([C@H]3CCCN(c4ccc5c(c4)CCC(=O)N5)C3)[nH]2)C1,-10.59,0.3471076067345568,-4.63290395655893,622.8620000000002
N[C@H]1CCN(C(=O)Cc2n[nH]c(=O)c3ccccc23)C[C@H]1c1nnc([C@@H]2CCC[C@H](N3CCC(c4c[nH]c5ccccc45)CC3)C2)[nH]1,-10.58,0.21739602260665344,-4.622053802472943,633.8010000000003
CN1c2ccccc2C(=O)N[C@@H]1Cc1ccn2cc(C(=O)Cc3ccc4[nH]c([C@@H]5CCCN5c5cccc6c(=O)[nH][nH]c(=O)c56)nc4c3)nc2c1,-10.53,0.18171074565807985,-4.567803032043013,679.7410000000001
Cc1[nH]c2ccccc2c1C(=O)[C@@H](C(=O)NC1=NN=C(c2ccccc2)[C@H]1C)c1[nH]nc2cc([C@@H](C)c3nc(=O)c4ccccc4[nH]3)ccc12,-10.52,0.1168059589407981,-4.556952877957028,660.738
Cc1ccc2c(c1)C[C@@H]([C@H]1C[C@H](c3nnc([C@@H]4CCC[C@@H](n5c(N)cc(=O)n(C)c5=O)C4)[nH]3)CN([C@H]3N=NC(c4ccccc4)=N3)C1)O2,-10.52,0.3187564946774124,-4.556952877957028,648.7720000000003
Cc1ccc2c(c1)C(=O)N([C@@H]1CC[C@H](c3nnc([C@H]4CCCN(c5ccc6c(c5)C(=O)N=NC6=O)C4)[nH]3)C[C@H]1[C@@H]1Oc3ccccc3O[C@@H]1C)C2=O,-10.46,0.2458757696816765,-4.491851953441113,699.7680000000003
CC[C@H]1CC[C@@H](c2nnc([C@@H]3CC[C@H]([C@H]4C(=O)Nc5ccccc54)[C@H](Cc4c(C)cc(C)[nH]c4=O)C3)[nH]2)CN1c1cccc(-c2ccc(=O)[nH]n2)c1,-10.43,0.14436860749838645,-4.459301491183155,698.872
C[C@H]1C=CN=C2NC(C(=O)C[C@@H]3CC[C@@H](C(F)(F)F)CN3N3N=C(c4cccc([C@@H]5Oc6ccccc6NC5=O)c4)N[C@@H]3C)=NN21,-10.4,0.4393031688057576,-4.4267510289251994,635.6510000000002
C[C@H]1NC(c2cccc(-c3cccc(C4=N[C@@H](C)N=N4)c3)c2)=NN1C(=O)c1cc([C@@H]2C[C@@H]2N[C@@H]2CCCc3occc32)n[nH]1,-10.4,0.26224281611823763,-4.4267510289251994,587.6880000000002
O=C1N=NC(=O)c2cc([C@@]3(CN4NN=C(c5ccc(F)c(CSc6nc7ccccc7[nH]6)c5)N4)C[C@]34CCc3ccccc34)ccc21,-10.4,0.18729281064863054,-4.4267510289251994,642.72
O=C1O[C@@H](N2N=C(c3ccccc3)N[C@H]2c2ccc(-c3cn4ccc(CN5CCc6nc7ccccc7cc6C5)cc4n3)cc2)Cc2ccccc21,-10.37,0.1873263344055305,-4.394200566667238,681.7999999999997
Cc1cc([C@@H](C(=O)[C@@H]2NNc3ccccc32)[C@@]23CCC(=O)N2c2ccccc2S3)ccc1[C@@H]1C[C@@H](NC2=NS(=O)(=O)c3ccccc32)ON1,-10.36,0.21881165600551372,-4.383350412581254,692.823
Cc1cccc2c(=O)[nH]c(C[C@@H]3C=C(c4cccc([C@@H]5COc6ccccc6[C@@H]([C@@H]6C[C@@H](C)Cc7cc8ccccc8nc76)C5)c4)N=NC3=O)nc12,-10.36,0.19485461514657126,-4.383350412581254,685.8280000000002
O=C1N=NC(=O)c2cc(N3CC[C@@H]([C@H]4COc5ccccc5O4)[C@H]3c3nc4cc(CN5CCc6nc7ccccc7cc6C5)ccc4[nH]3)ccc21,-10.35,0.211072757372134,-4.372500258495268,675.7489999999998
Cc1ccc2[nH]c([C@H]3[C@@H](N4CCCCC4)CCN3c3cccc(C4=N[C@H](CN5C(=O)c6cccc7cccc(c67)C5=O)N=N4)c3)nc2c1,-10.35,0.20964171549296293,-4.372500258495268,636.7599999999998
C[C@@H]1CC(=O)N(N2CCc3ccccc32)c2ccccc2N1C(=O)CC[C@H](c1nc2ccccc2c(=O)[nH]1)N1C(=O)N[C@@]2(CCCC[C@H]2C)C1=O,-10.35,0.2596801353293204,-4.372500258495268,687.8009999999997
C[C@@H]1CCCC[C@H]1[C@H]1CC[C@@H](c2nnc([C@@H]3CCCN(c4cccc(-c5ccc(=O)[nH]n5)c4)C3)[nH]2)C[C@@H]1Cc1nc2ccccc2[nH]1,-10.33,0.17262147138100342,-4.350799950323297,630.8410000000002
