SMILES,VINA,QED,MULTI,Molecular Weight
C1=CC(CN2CCOc3ccc(C4=Cc5ccccc5CC4)cc3C2)=C2C=C([C@@H]3[C@@H]4CC[C@H]([C@H]3[C@H]3C[C@@H]5CC[C@H]3C53CC3)C43CC3)C=C[C@H]2N1,-13.93,0.34587669750159705,-5.4281967715977535,660.9459999999998
O=c1nc(-c2cccc(N3CC=N[C@@H]3C3=C[C@@H]4Cc5ccccc5[C@@H]4C=C3)c2)[nH]c(C[C@H]2CCc3ccccc3C2)c1F,-13.77,0.2954478977372739,-4.863942206095329,568.6960000000003
Cc1ccc2c(c1)N=C(N1CCC[C@H](n3c(=O)cc(C)c4ccccc43)C1)N[C@@H]2C[C@H]1CCn2c1nc1ccc(C)cc1c2=O,-13.67,0.26809324175629257,-4.543534892003633,598.7510000000002
Cc1c(-c2cccc([C@@H]3CCCN(c4ncnc5c4Cc4ccccc4OC5)C3)c2)nc(CN2C(=O)CC3(CCCCC3)CC2=O)[nH]c1=O,-13.61,0.2593412493956827,-4.4106357210106415,658.8029999999998
CC1=CC=C2C=C(c3cc(C)cc4c3O[C@@H](N3CCC[C@]5(CC3)CNC(=O)O5)C4)C=C[C@H]2N1C(=O)[C@@H]1CCc2ccccc21,-13.52,0.4797161820224382,-6.02014235997303,589.7360000000001
O=c1c2ccc(N3C=CN[C@@H]3C3=C[C@@H]4Cc5ccccc5[C@H]4C=C3)cc2nc2n1[C@@H](N1CC(c3nc4ccccc4[nH]3)C1)CCCC2,-13.49,0.24741433416869665,-4.188040745368036,619.7730000000001
Cc1[nH]c(-c2cccc(N3CC=N[C@H]3C3=C[C@H]4Cc5ccccc5[C@H]4C=C3Cc3cc4cc5c(cc4[nH]c3=O)CCC5)c2)nc(=O)c1F,-13.43,0.2307710077971121,-3.9940105100111234,635.7429999999998
O=S(=O)(C1=CC2=C(CN3CCOc4ccc(C5=Cc6ccccc6CC5)cc4C3)C=CN[C@@H]2C=C1)c1cccc2ccccc12,-13.28,0.25845709525687505,-4.045731441411878,610.7790000000002
C[C@@H]1C=C(N2C[C@H](C3C(C)(C)C3(C)C)C[C@@H](N3c4ccccc4CCc4ccccc43)C2)N=C(N[C@@H]2[C@H]3CC[C@@H]2Cc2ccccc2C3)N1,-13.28,0.2976559234061629,-4.349389363285651,653.9590000000001
O=C(CC1=C2CC=CC=C2C=CN1)N1CCN(C2=C[C@H]3NC=CC(CN4CCOc5ccc(C6=Cc7ccccc7CC6)cc5C4)=C3C=C2)CC1,-13.27,0.3702061540943955,-4.900557343985456,675.8770000000002
Cc1ccc2c(-c3ccc4c(CN5CCOc6ccc(C7=Cc8ccccc8[C@@H]([C@@H]8COc9ccccc9C8)C7)cc6C5)ccnc4c3)cccc2n1,-13.27,0.17983735036054746,-3.4258450104621234,691.8750000000001
O=c1nc(-c2cccc(N3CC=N[C@@H]3C3=C[C@H]4Cc5ccccc5[C@@H]4C=C3)c2)[nH]c(CN2CCC[C@@H](c3cc4ccccc4[nH]3)C2)c1F,-13.24,0.20836714698519224,-3.6143036743323007,636.7750000000002
O=C1Nc2ccccc2[C@]12C[C@@H](N1CC=C(c3ccccc3)CC1)CN([C@H]1CCCN(c3ncnc4c3Cc3ccccc3OC4)C1)C2,-13.18,0.30841674875284675,-4.324247708848315,638.8160000000001
C[C@H]1C=C(N2C[C@@H](N3c4ccccc4CCc4ccccc43)C[C@H](C3C(C)(C)C3(C)C)C2)N=C(NCc2nc3ccccc3c(=O)[nH]2)N1,-13.17,0.2303690436736052,-3.708792645627816,641.8640000000003
CN1Cc2ccccc2C[C@@H]1Cc1[nH]c(-c2cccc([C@@H]3CCCN(c4ncnc5c4Cc4ccccc4OC5)C3)c2)nc(=O)c1F,-13.12,0.2621031281594825,-3.900373360538433,628.7520000000002
