SMILES,VINA,QED,MULTI,Molecular Weight
O=c1nc([C@@H]2CCCN(c3ncnc4c3Cc3ccccc3O[C@@H]4[C@@H]3Oc4ccccc4[C@H]3Cc3c[nH]c4ccccc34)C2)[nH]c2ccccc12,-13.74,0.1963392689841394,-8.050702493644488,672.7890000000002
C1=CC(C2CN([C@@H]3CC(c4ccc5c(c4)CN(CC4=C6C=C(N7CCCc8ccccc87)C=C[C@H]6NC=C4)CCO5)=Cc4ccccc43)C2)=CCN1,-13.26,0.27993674172084715,-7.529895097517164,685.916
CC1=C[C@H]2N=C(N3CC[C@H](NC4c5ccccc5-c5ccccc54)[C@H](c4ccc(C)cc4-c4nc5ccccc5[nH]c4=O)C3)NC(C)=C2C=C1,-13.26,0.18628804448892067,-7.529895097517164,656.8340000000002
Cc1nc2[nH]cnc2cc1[C@H]1CC[C@@H](CC2=c3ccccc3=N[C@H]2N2CCc3ccccc3CC2)N(c2ncnc3c2Cc2ccccc2OC3)C1,-13.22,0.2527242157410267,-7.486494481173222,686.8639999999998
CC[C@H]1CN(c2cccc(C3=NC(=O)[C@@H](F)C(C)=N3)c2)[C@H](c2cc3cc(Cn4cnc5ccccc54)cc(C)c3[nH]c2=O)[C@@H]2N=CN=C12,-13.19,0.2538179064039897,-7.453944018915262,640.7230000000002
CC1=C2C=CC(CN3Cc4ccccc4-c4ccccc43)=C[C@H]2N=C(N2CCC[C@@H](c3ccc(C)cc3-c3nc4ccccc4[nH]c3=O)C2)N1,-13.14,0.206063054466036,-7.399693248485334,656.8340000000002
C[C@@]12C(=O)N(c3cc(N4C(=O)[C@H]5[C@@H]6CC[C@@H](C6)[C@@]5(C)C4=O)nc4cc(F)ccc34)C(=O)[C@@H]1[C@H]1CC[C@@H]2[C@@H]1CCc1nc2ccccc2c(=O)[nH]1,-13.13,0.2837009420856717,-7.3888430943993475,673.7450000000001
Cc1ccccc1C1=CC2=C(OCCN(c3cccc(C4=NC(=O)[C@@H](F)C(CCC5=CN[C@H]6C=CC([C@H]7C=CC=CC7=O)=CC6=C5)=N4)c3)C2)C(=O)C1,-13.11,0.3523015832772837,-7.367142786227375,692.7910000000003
C[C@]12C(=O)N(c3cc(N4C(=O)[C@@H]5[C@H]6CC[C@H](C6)[C@]5(CC(=O)c5cc(-c6ccccc6F)[nH]n5)C4=O)nc4cc(F)ccc34)C(=O)[C@H]1[C@H]1CC[C@@H]2C1,-13.06,0.19379700092996105,-7.312892015797447,689.7190000000003
O=C1NC[C@@]2(CCCN([C@@H]3N=C([C@H]4C[C@@H]4[C@H]4[C@H]5C[C@H]6C[C@@H]4[C@H]([C@H]4Cc7cccc(F)c7O4)[C@](O)(C6)C5)NN3c3nccc4ccccc34)CC2)O1,-12.99,0.32642009618534423,-7.236940937195546,692.8360000000004
O=C1c2cccc3cccc(c23)C(=O)N1[C@@H]1CN([C@H]2CCCN(c3ncnc4c3Cc3ccccc3OC4)C2)C[C@@]2(C1)C(=O)Nc1ccccc12,-12.99,0.25543046025480226,-7.236940937195546,676.7770000000003
