SMILES,VINA,QED,MULTI,Molecular Weight
C[C@@H]1CC(=O)Nc2ccccc2N1[C@H]1CCCc2c1sc1c2[C@H](N(C)[C@@H]2CCCc3ccccc32)N=C(N(C)[C@@H]2CCCc3ccccc32)N1,-13.27,0.2245915840035161,-7.54074525160315,684.9540000000002
Cc1ccc2c(-n3nc(N(C)[C@@H]4C[C@H](N5CC[C@@H](C)[C@H]6CCCC[C@@H]65)Cc5ccccc54)c4c3C[C@H]([C@@H]3CCc5ccccc5C3)C4)coc2c1,-13.2,0.1855457115240546,-7.464794173001248,678.9649999999997
Cc1ccc(S(=O)(=O)CC(=O)[C@H]2Oc3c(cc(-c4ccc5oc6ccccc6c5c4)cc3-c3ccc4oc5ccccc5c4c3)NC2=O)cc1,-12.9,0.1748519392137491,-7.1392895504216725,677.7340000000003
Cc1cc(C[C@@H]2CN3CCC[C@@H]3CO2)ccc1[C@@H]1C[C@@H](c2ccc3c(c2)N(c2nc4ccccc4c(C)c2C)c2ccccc2S3)ON1,-12.77,0.1989420004278775,-6.998237547303855,654.8799999999999
CC1=CC=C2NC(CC[C@H]3CN(c4cccc5c4=NCC=5C4CCN(c5coc6cc(C)ccc56)CC4)c4ccccc4NC3=O)=CC(=O)N2C1,-12.76,0.2583573867156993,-6.987387393217869,678.837
O=C1Nc2cc(-c3ccc4oc5ccccc5c4c3)cc(-c3ccc4oc5ccccc5c4c3)c2O[C@@H]1CC1=CC(=O)N2CC=CC=C2N1,-12.69,0.1997735738025107,-6.911436314615967,641.6830000000002
Cc1c(-c2ccc3oc4ccccc4c3c2)nc2ccc(C[C@H]3CC(c4cccc(F)c4)=NO3)cc2c1-c1ccc2oc3ccccc3c2c1,-12.6,0.1856063516841847,-6.813784927842095,652.7250000000001
O=C1Nc2ccccc2[C@@H]1CC[C@H]1Oc2c(cc(-c3ccc4oc5ccccc5c4c3)cc2-c2ccc3oc4ccccc4c3c2)NC1=O,-12.6,0.1952982719006118,-6.813784927842095,640.6950000000003
CC(=O)N1N[C@@H](c2cccc([C@@H]3[C@H]4CC[C@]3(CC3=CN5CC(C)=CC=C5N3)Cc3ccccc3C4)c2)C[C@@H]1[C@@]1(O)[C@H]2CC[C@@H]1Cc1ccccc1C2,-12.58,0.2568657065557428,-6.792084619670123,692.9479999999999
CC(=O)N1N[C@H](c2cccc(N3CC[C@H]([C@@H]4Cc5cc(F)ccc5O4)c4cc(F)c(F)cc43)c2)C[C@@H]1N1CCCc2cc(F)c(F)cc21,-12.5,0.2288764923421476,-6.705283386982236,660.6870000000001
