SMILES,VINA,QED,MULTI,Molecular Weight
CC1(C)CN(c2cnc3c(c2)c(=O)[nH]c(=O)n3-c2ccc3c(c2)C(=O)NC[C@@H]3[C@@H]2SC(N3CCCCC3)=NC2=O)Cc2ccccc21,-12.74,0.3437295510357866,-6.965687085045898,649.7769999999997
Cc1c(-c2ccc3oc4ccccc4c3c2)nc2ccc(C[C@H]3CCC[C@H](C)C3)cc2c1-c1ccc2oc3ccccc3c2c1,-12.57,0.2061825414411136,-6.781234465584138,585.747
CC(=O)N1N[C@H](c2cccc([C@H]3[C@H]4CC[C@@H]3Cc3ccccc3C4)c2)C[C@@H]1[C@H]1[C@H]2Cc3ccccc3C[C@@H]1[C@H](C(C)C)C2,-12.42,0.3427442464434085,-6.618482154294349,572.8370000000002
Cc1ccc(C)c(S(=O)(=O)[C@H]2C[C@H]3C[C@@H]2[C@H]2C(=O)N(c4ccc5nnc(N6C(=O)[C@H]7[C@@H]8CC[C@@H](C8)[C@H]7C6=O)n5n4)C(=O)[C@H]23)c1,-12.42,0.4030703696280929,-6.618482154294349,614.6840000000002
Cc1ccc2cccc(C3=N[C@H](c4cccc5ccc(C)nc45)c4c(sc5c4CCC[C@@H]5[C@H](C)C#N)N3)c2n1,-12.4,0.2579020037247345,-6.5967818461223775,527.6970000000001
Cc1ccc(C(=O)Cc2ccc3nc(-c4ccc5oc6ccccc6c5c4)c(C)c(-c4ccc5oc6ccccc6c5c4)c3c2)c(=O)[nH]1,-12.15,0.1925517937095615,-6.32552799397273,624.6960000000001
Cc1cn[nH]c1C[C@@H]1Cc2ccccc2[C@@H](N(C)[C@@H]2N=C(N(C)[C@@H]3CCCc4ccccc43)Nc3sc4c(c32)CCC[C@@H]4[C@@H]2NC=CN2C)C1,-12.06,0.1923651386212417,-6.227876607198858,686.9739999999999
CC(=O)N1N[C@H](c2cccc([C@H]3C[C@@]34C[C@@H](N3CCN[C@@H](C)C3)Cc3ccccc34)c2)C[C@@H]1[C@@H]1C[C@@]12CCCc1ccccc12,-12.05,0.3756165846885804,-6.217026453112871,600.851
CC(=O)N1N[C@H](c2cccc([C@H]3[C@H]4CC[C@@H]3Cc3ccccc3C4)c2)C[C@@H]1[C@]1(Cc2[nH]ncc2C)[C@H]2CC[C@@H]1Cc1ccccc1C2,-12.03,0.2378418894859726,-6.195326144940898,624.8729999999999
C[C@H]1CCCC[C@@H]1CC(=O)N1N[C@@H](c2cccc(-c3ccc4oc5ccccc5c4c3)c2)C[C@@H]1c1ccc2oc3ccccc3c2c1,-11.98,0.2084875429318374,-6.14107537451097,618.777
O=C1NCCc2ccc(-c3oc4ccccc4c(=O)c3-c3ccc4c(c3)C(=O)N(N3CCO[C@H]5CCC[C@H]53)CC4)cc21,-11.97,0.3938822153298875,-6.130225220424984,561.6380000000001
Cc1c(-c2ccc3oc4ccccc4c3c2)nc2ccc(CN3C(=O)[C@H]4C[C@H]4C3=O)cc2c1-c1ccc2oc3ccccc3c2c1,-11.97,0.1888564621886136,-6.130225220424984,598.6580000000002
