SMILES,VINA,QED,MULTI,Molecular Weight
Cc1c([C@@H]2NN=C([C@@H]3CC[C@H](N(C)[C@H]4CCc5ccc(F)cc54)N(c4oc5c(ccc6ccccc65)c4C)C3)N2)oc2c1ccc1ccccc12,-11.17,0.189191665921705,-5.262212893546112,677.824
O=c1nc(-c2cnn3c2[nH]c(=O)c2ccccc23)n2c3c(c(-c4cnn5c4[nH]c(=O)c4ccccc45)ccc13)CCC2,-11.12,0.3361559826417198,-5.2079621231161815,552.5540000000001
Cc1ccc2[nH]c([C@H]3CCCN3c3nnc4n3CCN(C(=O)C[C@@H]3C(=O)N([C@@H]5N(C)c6ccccc6C5(C)C)c5ccccc53)[C@H]4C)nc2c1,-11.11,0.2454696384350181,-5.197111969030196,669.8340000000001
Cc1ccc2[nH]c([C@@H]3CCCN3c3nnc4n3CCN(C(=O)C[C@H]3C(=O)N(n5c(C)nc6ccccc6c5=O)c5ccccc53)[C@@H]4C)nc2c1,-11.03,0.278968885738313,-5.110310736342309,668.7620000000001
CC(C)C(=O)[C@H]1N=c2cc(N3C(=O)c4ccccc4C3=O)ccc2=C1c1nnc(-c2cc3cc4ccc(-c5nnc(C6=CN=C7CCC=C[C@H]67)o5)cc4nc3s2)o1,-11.02,0.1282326725473237,-5.099460582256323,768.815
Cc1nn(-c2ccc3c(=O)n4c(nc3c2)CCCCC[C@H]4n2cnc3sccc3c2=O)c2nc(C)n3c4ccccc4nc3c2c1=O,-10.98,0.2617375125285684,-5.056059965912381,641.7170000000003
Cc1nn(-c2ccc3c(=O)n4c(nc3c2)CCCCC[C@H]4N2C(=O)C[C@@H](C)C2=O)c2nc(C)n3c4ccccc4nc3c2c1=O,-10.93,0.2721220292322248,-5.00180919548245,602.6550000000003
Cc1cc2c(=O)n([C@@H]3C[C@@]4(CCN3C)C[C@H](Nc3ccc5c(=O)nc(-n6ccc7ccccc7c6=O)[nH]c5c3)c3ccccc3O4)cnc2s1,-10.86,0.2347700922424972,-4.925858116880549,683.7940000000001
Cc1c(-c2ccc3c(c2)nc(CS(=O)(=O)c2cnn(C)c2)c(=O)n3-c2oc3c(ccc4ccccc43)c2C)oc2c1ccc1ccccc12,-10.83,0.1823699451188253,-4.893307654622592,664.7430000000002
O=c1nc(-c2nnc(C3=c4ccccc4=NC3)o2)[nH]c2cc(-c3nnc(C4=CN=C5C=CC=C(S(=O)(=O)c6c(F)cccc6F)[C@H]45)o3)ccc12,-10.81,0.2720339381011307,-4.87160734645062,688.6320000000003
Cc1c(-c2ccc3c(c2)nc(CN2C[C@H](C)O[C@@H]([C@H]4CCC[C@H]5C[C@H]54)[C@H]2C)n3-c2oc3c(ccc4ccccc43)c2C)oc2c1ccc1ccccc12,-10.81,0.1789587446240259,-4.87160734645062,699.895
Cc1c(-c2nnc3n2CCN(c2oc4c(ccc5ccccc54)c2C)[C@H]3CN2CCCCCCC2)oc2c1ccc1ccccc12,-10.77,0.1982763783222075,-4.828206730106675,609.7739999999998
Cc1ccc2c(c1)[C@H](NC[C@@]1(c3oc4c(ccc5ccccc54)c3C)NC(=O)N(NC(=O)c3oc4c(ccc5ccccc54)c3C)C1=O)CCS2,-10.77,0.1499612980581448,-4.828206730106675,694.8130000000001
C[C@@H]1Cc2c(-c3nc4c(ccc5ccccc54)s3)ccc3c2[N@@H+](C1)C(c1nc2c(ccc4ccccc42)s1)=NC3=O,-10.77,0.240612310509809,-4.828206730106675,567.719
O=C1CC[C@H]2CN([C@H]3C[C@@H](c4cnn5c4[nH]c(=O)c4ccccc45)NN3c3ccc(-c4cnn5c4[nH]c(=O)c4ccccc45)cc3)CC[C@@H]2N1,-10.75,0.2224121389607911,-4.806506421934704,666.7459999999998
